Timestamp;EURAEDFIXMP=WM;EURBAMFIXMP=WM;EURCNYFIXMP=WM;EURILSFIXMP=WM;EURINRFIXMP=WM;EURJODFIXMP=WM;EURKESFIXMP=WM;EURKRWFIXMP=WM;EURKWDFIXMP=WM;EURMADFIXMP=WM;EURMDLFIXMP=WM;EURMKDFIXMP=WM;EURMXNFIXMP=WM;EURPHPFIXMP=WM;EURRSDFIXMP=WM;EURSARFIXMP=WM;EURTHBFIXMP=WM;EURTNDFIXMP=WM;EURTWDFIXMP=WM
2025-09-09 10:00:00;4,3229;;8,3809;3,9255;103,7177;0,8343;152,06;1630,11;0,3592;10,5747;;61,5496;21,8826;67,0805;117,1672;4,4151;37,2654;3,4112;35,6942
2025-09-09 11:00:00;4,3171;;8,3697;3,9196;103,5811;0,8332;151,86;1628,58;0,3587;10,5678;;61,5269;21,857;66,9921;117,1766;4,4092;37,2139;3,4092;35,6472
2025-09-10 10:00:00;4,3026;;8,3415;3,9074;103,1979;0,8305;151,34;1626,34;0,3579;10,566;;61,5622;21,8288;66,9087;117,1545;4,3955;37,2236;3,4088;35,4794
2025-09-10 11:00:00;4,2976;;8,3327;3,9029;103,0789;0,8295;151,17;1625,39;0,3575;10,5615;;61,5465;21,8135;66,8316;117,1441;4,3904;37,1807;3,4062;35,4385
2025-09-11 10:00:00;4,2919;;8,3253;3,9008;103,3439;0,8282;150,97;1627,35;0,3571;10,5473;;61,5334;21,775;66,8562;117,1553;4,384;37,2191;3,4026;35,4371
2025-09-11 11:00:00;4,2912;;8,3227;3,9005;103,3262;0,8281;150,94;1626,76;0,357;10,5465;;61,5293;21,7637;66,8448;117,1536;4,3833;37,2092;3,402;35,431
2025-09-12 10:00:00;4,3051;;8,3491;3,9044;103,4767;0,8308;151,44;1630,2;0,358;10,5592;;61,5272;21,6706;66,9525;117,1549;4,3973;37,1767;3,4042;35,4384
2025-09-12 11:00:00;4,3099;;8,3563;3,9041;103,5915;0,8317;151,6;1631,65;0,3584;10,564;;61,5431;21,6707;67,0267;117,1662;4,4021;37,2073;3,4071;35,4777
2025-09-15 10:00:00;4,3148;;8,3666;3,9251;103,6345;0,8326;151,77;1630,04;0,3587;10,5849;;61,5898;21,6475;67,1854;117,1905;4,4064;37,4541;3,4109;35,537
2025-09-15 11:00:00;4,3169;;8,3701;3,9237;103,6874;0,8331;151,85;1631,32;0,3589;10,5845;;61,5968;21,6511;67,2198;117,184;4,4086;37,4744;3,4117;35,5552
2025-09-16 10:00:00;4,3396;;8,4053;3,9477;104,0383;0,8374;152,65;1632,17;0,3605;10,5955;;61,5658;21,6806;67,2624;117,1871;4,4317;37,4299;3,4162;35,5348
2025-09-16 11:00:00;4,3374;;8,4025;3,9506;103,9854;0,837;152,57;1632,41;0,3604;10,593;;61,5675;21,6801;67,2283;117,1859;4,4294;37,4558;3,4145;35,5167
2025-09-17 10:00:00;4,351;;8,4158;3,9471;104,0144;0,8398;153,05;1631,8;0,3613;10,6237;;61,5752;21,6663;67,388;117,195;4,4448;37,5814;3,4193;35,5972
2025-09-17 11:00:00;4,347;;8,4082;3,9505;103,9178;0,839;152,91;1630,53;0,361;10,6248;;61,569;21,6531;67,3247;117,177;4,4408;37,5702;3,4189;35,5642
2025-09-18 10:00:00;4,3485;;8,4128;3,9591;104,3454;0,8391;152,96;1640,38;0,3611;10,628;;61,5793;21,6239;67,5452;117,185;4,4411;37,6433;3,4179;35,6058
2025-09-18 11:00:00;4,3474;;8,4101;3,9568;104,319;0,8389;152,92;1639,98;0,361;10,6268;;61,578;21,5988;67,528;117,1817;4,4399;37,6551;3,4186;35,5968
2025-09-19 10:00:00;4,3191;;8,3645;3,9278;103,5958;0,8332;151,93;1641,42;0,3591;10,6121;;61,5931;21,5966;67,1592;117,1715;4,4105;37,4548;3,413;35,5181
2025-09-19 11:00:00;4,3202;;8,3674;3,9231;103,6223;0,8335;151,97;1642,32;0,3592;10,6133;;61,5978;21,5949;67,1763;117,1768;4,4116;37,4549;3,4142;35,5271
2025-09-22 10:00:00;4,3246;;8,3759;3,9452;103,9769;0,8344;152,12;1638,22;0,3595;10,6184;;61,5817;21,6579;67,1707;117,1787;4,4161;37,439;3,4136;35,6069
2025-09-22 11:00:00;4,325;;8,3749;3,9455;103,9857;0,8345;152,13;1637,96;0,3595;10,6295;;61,5792;21,6532;67,1764;117,1715;4,4166;37,4162;3,413;35,61
2025-09-23 10:00:00;4,3349;;8,3909;3,9511;104,7435;0,8365;152,48;1644,77;0,3603;10,6532;;61,6118;21,6444;67,6102;117,1796;4,4267;37,561;3,4159;35,7518
2025-09-23 11:00:00;4,3327;;8,3875;3,9467;104,6902;0,8361;152,4;1644,29;0,3601;10,6512;;61,6038;21,6543;67,5759;117,181;4,4244;37,5655;3,4151;35,7336
2025-09-24 10:00:00;4,3228;;8,3826;3,9408;104,4048;0,8345;152,06;1646,32;0,3595;10,6487;;61,5394;21,6204;67,6363;117,1885;4,4152;37,6667;3,413;35,7224
