Timestamp;EURAED=R;EURBAM=R;EURCNY=;EURILS=TRB;EURINR=;EURJOD=R;EURKES=;EURKRW=R;EURKWD=R;EURMAD=;EURMDL=R;EURMKD=R;EURMXN=TRB;EURPHP=R;EURRSD=R;EURSAR=R;EURTHB=;EURTNDX=R;EURTWD=R
2025-09-05 10:00:00+00:00;4,2923;1,96055;8,3426;3,9031;103,151;0,82855;151,35;1624,655;0,3573;10,62415;19,615;61,545;21,8315;66,512;117,165;4,3847;37,6215;3,4005;35,6984
2025-09-05 11:00:00+00:00;4,29355;1,96075;8,34395;3,9029;103,1689;0,8288;151,38;1625,135;0,3574;10,62555;19,62;61,545;21,8326;66,515;117,18;4,386;37,6215;3,4012;35,6974
2025-09-08 10:00:00+00:00;4,3062;1,9609;8,35965;3,8986;103,1922;0,83125;151,415;1629,005;0,3581;10,58835;19,58;61,445;21,916;66,559;117,11;4,3991;37,3555;3,40115;35,6996
2025-09-08 11:00:00+00:00;4,3073;1,9608;8,3624;3,8994;103,2375;0,83145;151,515;1629,585;0,3582;10,58245;19,585;61,46;21,9083;66,5505;117,115;4,4002;37,2735;3,40205;35,7134
2025-09-09 10:00:00+00:00;4,32185;1,9607;8,38135;3,9245;103,6859;0,83425;152,02;1629,895;0,3591;10,56975;19,505;61,55;21,8783;66,949;117,15;4,4143;37,25725;3,40585;35,65015
2025-09-09 11:00:00+00:00;4,3165;1,9605;8,3705;3,9188;103,5986;0,83325;151,785;1628,43;0,3587;10,56725;19,48;61,545;21,8506;66,8415;117,145;4,4084;37,21275;3,4046;35,59215
2025-09-10 10:00:00+00:00;4,30265;1,9607;8,34215;3,9072;;0,83055;151,35;1626,405;0,3579;10,55985;19,5;61,56;21,8319;66,8515;117,175;4,3946;37,2287;3,40195;35,50045
2025-09-10 11:00:00+00:00;4,29725;1,9608;8,333;3,9031;103,1048;0,8296;151,11;1625,235;0,35745;10,55495;19,48;61,55;21,8141;66,8315;117,18;4,38955;37,181;3,40775;35,47825
2025-09-11 10:00:00+00:00;4,29215;1,96065;8,32585;3,901;103,3674;0,8285;150,99;1627,275;0,35705;10,53825;19,415;61,54;21,7747;66,81;117,17;4,38405;37,21385;3,4086;35,47485
2025-09-11 11:00:00+00:00;4,2915;1,96075;8,3238;3,9005;;0,8284;150,96;1627,115;0,35705;10,53795;19,41;61,555;21,7655;66,765;117,175;4,3835;37,20185;3,39935;35,47845
2025-09-12 10:00:00+00:00;4,30535;1,96085;8,3503;3,9045;103,4764;0,83115;151,4;1630,235;0,3581;10,5604;19,47;61,56;21,6721;66,973;117,15;4,398;37,1795;3,4036;35,52185
2025-09-12 11:00:00+00:00;4,30945;1,96075;8,35575;3,904;103,5741;0,83195;151,545;1631,625;0,35835;10,5649;19,49;61,55;21,6681;67,0535;117,205;4,4021;37,21;3,4045;35,5423
2025-09-15 10:00:00+00:00;4,31565;1,9607;8,36805;3,9245;103,6388;0,83305;151,805;1630,925;0,35875;10,5592;19,545;61,565;21,6498;67,2545;117,18;4,4072;37,45745;3,4052;35,52345
2025-09-15 11:00:00+00:00;4,3175;1,96075;8,37085;3,9247;103,6541;0,8334;151,795;1631,745;0,3588;10,5643;19,555;61,56;21,6483;67,2285;117,175;4,4091;37,48085;3,40545;35,52445
2025-09-16 10:00:00+00:00;4,3384;1,96035;8,4035;3,947;104,0215;0,83745;152,61;1631,815;0,36035;10,594;19,56;61,89;21,6727;67,292;117,15;4,4303;37,42335;3,411;35,5585
2025-09-16 11:00:00+00:00;4,33695;1,96075;8,4011;3,9493;103,9978;0,83715;152,49;1632,405;0,36025;10,592;19,555;61,865;21,6814;67,224;117,17;4,4288;37,4577;3,41115;35,5748
2025-09-17 10:00:00+00:00;4,3509;1,9608;8,4152;3,9476;;0,83985;153,04;1631,975;0,3612;10,6142;19,51;62,065;21,667;67,351;117,185;4,4438;37,5769;3,4141;35,59215
2025-09-17 11:00:00+00:00;4,34745;1,9606;8,4092;3,9518;;0,83915;152,86;1630,86;0,361;10,6163;19,51;62,015;21,6555;67,322;117,175;4,4406;37,57045;3,4129;35,56125
2025-09-18 10:00:00+00:00;4,34785;1,96085;8,41185;3,9585;104,3296;0,83935;152,95;1640,165;0,361;10,62675;19,575;62,0;21,6219;67,513;117,18;4,4401;37,6395;3,41445;35,5874
2025-09-18 11:00:00+00:00;4,34705;1,96065;8,4105;3,957;104,2878;0,83915;152,86;1640,03;0,36105;10,6183;19,57;61,99;21,5973;67,539;117,17;4,4393;37,65325;3,41405;35,58965
2025-09-19 10:00:00+00:00;4,3202;1,96095;8,36635;3,9281;103,6094;0,83395;151,965;1641,81;0,35915;10,6135;19,515;61,565;21,5984;67,2275;117,165;4,4112;37,46195;3,4142;35,52005
2025-09-19 11:00:00+00:00;4,31945;1,96065;8,3664;3,9216;103,6256;0,83375;151,945;1642,15;0,3591;10,6137;19,51;61,55;21,5919;67,182;117,145;4,4105;37,4545;3,4139;35,51285
2025-09-22 10:00:00+00:00;4,32515;1,9608;8,378;3,9463;103,9996;0,8349;152,495;1638,48;0,3591;10,61995;19,64;61,56;21,6557;67,0765;117,155;4,4164;37,4445;3,4156;35,595
2025-09-22 11:00:00+00:00;4,3246;1,96065;8,37505;3,9455;;0,83475;152,47;1637,88;0,35905;10,6314;19,64;61,54;21,6532;67,0205;117,155;4,4158;37,41775;3,4154;35,5999
2025-09-23 10:00:00+00:00;4,3347;1,9607;8,3919;3,9515;104,7569;0,8367;152,475;1644,63;0,3596;10,6491;19,635;61,615;21,6444;67,54;117,17;4,4265;37,5595;3,4195;35,71605
2025-09-23 11:00:00+00:00;4,3325;1,96075;8,3888;3,947;104,6528;0,8363;152,4;1644,075;0,3594;10,6472;19,625;61,61;21,6539;67,4605;117,16;4,4243;37,562;3,41755;35,68375
2025-09-24 10:00:00+00:00;4,3222;1,96055;8,3832;3,9416;104,3763;0,8343;152,05;1646,25;0,35855;10,642;19,62;61,61;21,6207;67,627;117,155;4,4139;37,6645;3,41555;35,66025
2025-09-24 11:00:00+00:00;4,3165;1,9608;8,3743;3,9368;104,2484;0,83325;151,84;1645,015;0,3581;10,6398;19,595;61,615;21,6071;67,548;117,17;4,40815;37,6254;3,4143;35,61095
2025-09-25 10:00:00+00:00;4,3141;1,9608;8,3666;3,9319;104,1554;0,83275;151,81;1648,31;0,3587;10,5959;19,6;61,61;21,6372;68,034;117,205;4,4053;37,7385;3,41415;35,74505
2025-09-25 11:00:00+00:00;4,3141;1,96065;8,3688;3,9242;104,1847;0,83275;151,815;1646,365;0,3587;10,6019;19,6;61,605;21,6454;68,2015;117,195;4,4053;37,7546;3,4141;35,7486
2025-09-26 10:00:00+00:00;4,28875;1,96065;8,3319;3,9324;103,5782;0,8279;150,95;1647,5;0,357;10,6157;19,57;61,61;21,5741;67,924;117,195;4,3793;37,6485;3,4089;35,6145
2025-09-26 11:00:00+00:00;4,28455;1,9608;8,325;3,9294;103,4797;0,82705;150,635;1647,1;0,3567;10,6202;19,55;61,615;21,5928;67,846;117,205;4,37495;37,6375;3,4079;35,59345
2025-09-29 10:00:00+00:00;4,30385;1,9608;8,3435;3,882;103,9924;0,8308;151,74;1641,75;0,3574;10,63675;19,58;61,61;21,5047;68,0735;117,2;4,39465;37,7948;3,40585;35,7384
2025-09-29 11:00:00+00:00;4,30455;1,9608;8,34705;3,8938;104,0138;0,8309;151,42;1642,195;0,35805;10,63745;19,585;61,61;21,5066;68,1835;117,195;4,3954;37,80125;3,4063;35,7187
2025-09-30 10:00:00+00:00;4,31545;1,9607;8,3658;3,8798;;0,83305;151,8;1648,555;0,35895;10,6716;19,61;61,61;21,5494;68,381;117,195;4,4062;38,074;3,40845;35,82625
2025-09-30 11:00:00+00:00;4,3153;1,9608;8,3656;3,8891;104,3613;0,833;151,79;1649,125;0,35905;10,6781;19,61;61,625;21,5385;68,41;117,21;4,406;38,0651;3,4088;35,83645
2025-10-01 10:00:00+00:00;4,30905;1,9607;;3,8869;104,057;0,8318;151,58;1649,095;0,35845;10,6652;19,54;61,595;21,4561;68,1515;117,165;4,3997;37,956;3,39745;35,73765
2025-10-01 11:00:00+00:00;4,30705;1,96075;;3,8879;104,0032;0,83135;151,45;1647,66;0,3583;10,6668;19,535;61,62;21,4449;68,1775;117,17;4,3976;37,9675;3,40405;35,71975
