Timestamp;EUR=TRB;EURGBP=TRB;EURCHF=TRB;EURCZK=TRB;EURHUF=TRB;EURPLN=TRB;EURAUD=TRB;EURCAD=TRB;EURDKK=TRB;EURHKD=TRB;EURJPY=TRB;EURNOK=TRB;EURNZD=TRB;EURRON=TRB;EURSEK=TRB;EURSGD=TRB;EURTRY=TRB;EURZAR=TRB
2025-09-05 11:00:00+00:00;1,16895;0,8673;0,93875;24,424;393,05;4,2525;1,78645;1,6124;7,4651;9,1213;173,185;11,7478;1,9897;5,0782;11,0022;1,5039;48,2333;20,6566
2025-09-08 10:00:00+00:00;1,1723;0,8678;0,93365;24,372;393,45;4,2528;1,78105;1,6197;7,466;9,1367;173,235;11,728;1,9794;5,0718;11,0144;1,5055;48,3766;20,5692
2025-09-08 11:00:00+00:00;1,1727;0,86675;0,93275;24,368;393,515;4,2527;1,78035;1,619;7,4658;9,1397;173,32;11,7034;1,9772;5,0721;10,9987;1,5061;48,3985;20,5937
2025-09-09 10:00:00+00:00;1,17665;0,8661;0,933;24,318;393,655;4,2519;1,778;1,62395;7,4669;9,1649;172,22;11,7255;1,9751;5,0733;10,9989;1,5064;48,5698;20,5576
2025-09-09 11:00:00+00:00;1,1752;0,86575;0,93275;24,317;393,28;4,2542;1,777;1,6228;7,4668;9,151;172,185;11,7168;1,9739;5,074;11,0031;1,505;48,5154;20,5215
2025-09-10 10:00:00+00:00;1,1714;0,865;0,93335;24,389;393,675;4,259;1,77275;1,62225;7,4656;9,1247;172,695;11,6243;1,9696;5,0729;10,9422;1,5028;48,3708;20,5616
2025-09-10 11:00:00+00:00;1,17;0,8643;0,9336;24,375;393,6;4,2619;1,7722;1,6214;7,4656;9,1136;172,57;11,6164;1,9704;5,0735;10,9433;1,5016;48,3046;20,5545
2025-09-11 10:00:00+00:00;1,16855;0,86555;0,93415;24,421;393,05;4,2672;1,7694;1,6221;7,465;9,102;172,915;11,6012;1,9713;5,0708;10,9501;1,5015;48,255;20,5081
2025-09-11 11:00:00+00:00;1,16845;0,8645;0,9343;24,402;392,935;4,2675;1,7689;1,62205;7,465;9,1018;172,905;11,6082;1,9714;5,0715;10,9596;1,5014;48,2411;20,4953
2025-09-12 10:00:00+00:00;1,1723;0,8653;0,9348;24,341;391,495;4,2585;1,7626;1,6224;7,4647;9,1238;173,415;11,5827;1,9684;5,0696;10,9469;1,5039;48,4956;20,366
2025-09-12 11:00:00+00:00;1,1734;0,86545;0,9347;24,314;390,84;4,2529;1,76465;1,62335;7,4643;9,1319;173,395;11,5835;1,9705;5,0704;10,9414;1,5051;48,5443;20,3551
2025-09-15 10:00:00+00:00;1,1749;0,8642;0,9344;24,327;389,57;4,2477;1,7653;1,62495;7,4645;9,1399;173,135;11,5624;1,9724;5,0634;10,9334;1,5058;48,5385;20,371
2025-09-15 11:00:00+00:00;1,1755;0,8639;0,9344;24,332;389,765;4,2483;1,7658;1,6249;7,4645;9,1437;173,26;11,5599;1,973;5,0639;10,9149;1,5063;48,5548;20,3906
2025-09-16 10:00:00+00:00;1,18115;0,8659;0,9347;24,317;389,8;4,2498;1,77155;1,62585;7,4645;9,1915;173,58;11,6133;1,9777;5,063;10,9352;1,5092;48,7964;20,5108
2025-09-16 11:00:00+00:00;1,1807;0,86655;0,9342;24,324;390,06;4,2512;1,77135;1,62495;7,4649;9,1887;173,63;11,6023;1,9774;5,0629;10,9321;1,5094;48,7639;20,5071
2025-09-17 10:00:00+00:00;1,18455;0,8679;0,93175;24,325;389,88;4,2541;1,77525;1,6291;7,4644;9,2096;173,285;11,6345;1,9822;5,0668;10,958;1,512;48,9093;20,5906
2025-09-17 11:00:00+00:00;1,18365;0,86755;0,93135;24,322;390,04;4,2546;1,77455;1,6282;7,4643;9,2038;173,105;11,6288;1,9813;5,0679;10,9592;1,5111;48,8827;20,5735
2025-09-18 10:00:00+00:00;1,1838;0,8675;0,93255;24,325;388,755;4,2567;1,7795;1,63045;7,4645;9,2072;174,325;11,6091;2,0044;5,0692;10,9818;1,5138;48,9122;20,5466
2025-09-18 11:00:00+00:00;1,18365;0,86655;0,9329;24,312;388,54;4,2546;1,77825;1,62975;7,4644;9,2055;174,345;11,5782;2,0044;5,0684;10,9759;1,5136;48,8984;20,5032
2025-09-19 10:00:00+00:00;1,1762;0,8709;0,9349;24,286;390,96;4,2651;1,7808;1,6244;7,4641;9,1465;174,0;11,6524;2,0013;5,0719;11,0491;1,5101;48,6849;20,4101
2025-09-19 11:00:00+00:00;1,176;0,87145;0,93515;24,277;390,69;4,2635;1,7808;1,62365;7,464;9,145;174,02;11,654;2,0017;5,0743;11,0441;1,5101;48,692;20,4078
2025-09-22 10:00:00+00:00;1,17755;0,87215;0,93535;24,266;389,395;4,264;1,7851;1,626;7,4636;9,1503;174,135;11,6886;2,0088;5,0748;11,0545;1,5109;48,7382;20,3451
2025-09-22 11:00:00+00:00;1,1774;0,87225;0,93455;24,254;389,255;4,261;1,7852;1,62545;7,4635;9,1492;174,08;11,6978;2,0098;5,0753;11,0488;1,5106;48,7162;20,3476
2025-09-23 10:00:00+00:00;1,18015;0,87385;0,9348;24,252;389,015;4,2545;1,7867;1,63205;7,4643;9,1754;174,21;11,6687;2,0123;5,0772;10,993;1,5141;48,8782;20,4251
2025-09-23 11:00:00+00:00;1,17955;0,87305;0,93465;24,253;388,82;4,2566;1,78525;1,6307;7,4643;9,1707;174,265;11,66;2,0108;5,0773;10,9759;1,5137;48,8506;20,4212
2025-09-24 10:00:00+00:00;1,17685;0,87325;0,93465;24,288;390,525;4,2659;1,78005;1,63215;7,4638;9,1517;174,53;11,6853;2,0142;5,0781;11,021;1,5138;48,7956;20,3118
2025-09-24 11:00:00+00:00;1,1752;0,87275;0,93415;24,304;391,735;4,2695;1,7791;1,63035;7,4638;9,1397;174,4;11,6792;2,0128;5,0793;11,0232;1,5127;48,6868;20,3394
2025-09-25 10:00:00+00:00;1,17455;0,87335;0,93455;24,277;390,575;4,2588;1,7804;1,63165;7,464;9,1353;174,76;11,6822;2,0169;5,0748;11,0307;1,5133;48,7112;20,3257
