Timestamp;EURAEDFIXMP=WM;EURBAMFIXMP=WM;EURCNYFIXMP=WM;EURILSFIXMP=WM;EURINRFIXMP=WM;EURJODFIXMP=WM;EURKESFIXMP=WM;EURKRWFIXMP=WM;EURKWDFIXMP=WM;EURMADFIXMP=WM;EURMDLFIXMP=WM;EURMKDFIXMP=WM;EURMXNFIXMP=WM;EURPHPFIXMP=WM;EURRSDFIXMP=WM;EURSARFIXMP=WM;EURTHBFIXMP=WM;EURTNDFIXMP=WM;EURTWDFIXMP=WM
2025-09-04 11:00:00;4,27995;1,9558;8,3202;3,9209;102,72265;0,82615;150,55035;1622,61065;0,3564;10,60245;19,5296;61,54855;21,8624;66,39595;117,1717;4,37235;37,67835;3,3879;35,75395
2025-09-05 10:00:00;4,2928;1,9558;8,3423;3,9033;103,15095;0,8273;151,00255;1625,1469;0,3573;10,63225;19,61745;61,5464;21,8311;66,52525;117,18475;4,38525;37,625;3,40075;35,71175
2025-09-05 11:00:00;4,295;1,9558;8,34655;3,90425;103,2039;0,8277;151,08005;1625,9812;0,3574;10,6377;19,62755;61,5605;21,83995;66,5594;117,1981;4,3875;37,6443;3,40165;35,73005
2025-09-08 10:00:00;4,3064;1,9558;8,3615;3,89955;103,4775;0,83125;151,48055;1630,52625;0,3581;10,6171;19,5799;61,5537;21,91835;66,4955;117,1102;4,39925;37,36015;3,4041;35,748
2025-09-08 11:00:00;4,30715;1,9558;8,3629;3,8991;103,4952;0,8314;151,4478;1630,8044;0,3582;10,6108;19,5833;61,55245;21,90805;66,50685;117,11255;4,4;37,3665;3,4118;35,7541
2025-09-09 10:00:00;4,3224;1,9558;8,3844;3,9254;103,69225;0,8343;152,0426;1633,19165;0,3592;10,5885;19,50545;61,5467;21,8808;67,06585;117,1504;4,4149;37,26335;3,41565;35,6912
2025-09-09 11:00:00;4,31725;1,9558;8,3744;3,92045;103,5689;0,8333;151,8617;1631,2487;0,3588;10,58225;19,48225;61,54985;21,8536;66,98605;117,1639;4,4092;37,21905;3,40845;35,6487
2025-09-10 10:00:00;4,30275;1,9558;8,343;3,9072;103,2062;0,83055;151,2928;1624,09835;0,3578;10,5809;19,50465;61,5539;21,83115;66,93665;117,18015;4,3948;37,2316;3,4043;35,42175
2025-09-10 11:00:00;4,2974;1,9558;8,33265;3,90305;103,07845;0,82955;151,1055;1622,08805;0,3575;10,5655;19,4805;61,5479;21,8129;66,8538;117,1755;4,3894;37,18555;3,40635;35,37785
2025-09-11 10:00:00;4,29215;1,9558;8,32405;3,9008;103,3495;0,8275;150,9767;1626,44635;0,35705;10,55145;19,41545;61,5534;21,7771;66,8235;117,153;4,38405;37,2183;3,404;35,40415
