Timestamp;EUR=TRB;EURCHF=TRB;EURJPY=TRB;EURGBP=TRB;EURCZK=TRB;EURHUF=TRB
2026-07-07 12:00:00;1,14365;0,9217;185,09;0,8544;24,227;354,15
2026-07-07 13:00:00;1,1436;0,922;185,145;0,85535;24,226;354,15
2026-07-08 12:00:00;1,1396;0,9218;185,215;0,8542;24,253;357,82
2026-07-08 13:00:00;1,141;0,9231;185,455;0,85335;24,261;357,96
2026-07-09 12:00:00;1,1425;0,9226;185,59;0,8536;24,259;358,255
2026-07-09 13:00:00;1,1439;0,92295;185,705;0,8536;24,249;357,045
2026-07-10 12:00:00;1,14295;0,9224;184,925;0,8516;24,26;356,045
2026-07-10 13:00:00;1,1421;0,92265;184,75;0,8519;24,25;355,5
2026-07-13 12:00:00;1,1431;0,9255;185,31;0,8531;24,258;356,725
2026-07-13 13:00:00;1,14145;0,9255;185,175;0,85275;24,256;356,945
2026-07-14 12:00:00;1,1446;0,92495;185,325;0,8536;24,276;360,105
2026-07-14 13:00:00;1,14515;0,9245;185,43;0,8536;24,26;359,17
2026-07-15 12:00:00;1,1428;0,9246;185,33;0,85105;24,221;358,905
2026-07-15 13:00:00;1,143;0,92385;185,41;0,85035;24,23;358,94
2026-07-16 12:00:00;1,1448;0,9252;185,8;0,84815;24,225;362,07
2026-07-16 13:00:00;1,145;0,9251;185,865;0,84765;24,233;362,665
2026-07-17 12:00:00;1,14285;0,92285;185,62;0,8509;24,215;363,165
2026-07-17 13:00:00;1,1436;0,9234;185,68;0,8502;24,227;363,31
2026-07-20 12:00:00;1,1424;0,924;185,53;0,84905;24,185;360,755
2026-07-20 13:00:00;1,1415;0,92405;185,47;0,8486;24,194;360,65
2026-07-21 12:00:00;1,1417;0,9257;185,785;0,85275;24,174;360,66
2026-07-21 13:00:00;1,14115;0,9261;185,855;0,85275;24,187;362,055
2026-07-22 12:00:00;1,1408;0,92705;186,07;0,85395;24,166;363,775
2026-07-22 13:00:00;1,14135;0,9272;186,11;0,8526;24,151;362,81
