Timestamp;EURUSDFIXMP=WM;EURCHFFIXMP=WM;EURJPYFIXMP=WM;EURGBPFIXMP=WM;EURCZKFIXMP=WM;EURHUFFIXMP=WM
2025-10-06 11:00:00;1,16635;0,9313;175,3199;0,86885;24,3135;389,35
2025-10-07 10:00:00;1,1665;0,93105;175,86735;0,8677;24,3335;392,075
2025-10-07 11:00:00;1,16745;0,9306;176,03395;0,8695;24,332;392,15
2025-10-08 10:00:00;1,16105;0,9299;177,63485;0,86635;24,3785;392,9
2025-10-08 11:00:00;1,16335;0,9303;177,6901;0,8673;24,3605;392,5
2025-10-09 10:00:00;1,1626;0,93095;177,3488;0,8684;24,313;390,75
2025-10-09 11:00:00;1,16195;0,9302;177,3891;0,86905;24,3225;391,375
2025-10-10 10:00:00;1,15745;0,9326;176,86415;0,87095;24,315;390,45
2025-10-10 11:00:00;1,1572;0,93265;176,6871;0,8722;24,3025;390,4
2025-10-13 10:00:00;1,15945;0,9312;176,4335;0,8693;24,3285;392,225
2025-10-13 11:00:00;1,15845;0,93145;176,206;0,86855;24,3395;392,175
2025-10-14 10:00:00;1,15565;0,92935;175,78595;0,871;24,334;392,6
2025-10-14 11:00:00;1,1553;0,92895;175,5363;0,8709;24,3245;393,325
2025-10-15 10:00:00;1,1635;0,931;176,10155;0,8715;24,2635;390,275
2025-10-15 11:00:00;1,1625;0,93075;175,9618;0,86985;24,273;390,575
2025-10-16 10:00:00;1,1659;0,92855;176,38905;0,8677;24,312;389,925
2025-10-16 11:00:00;1,16555;0,92905;176,1962;0,86775;24,2885;389,75
2025-10-17 10:00:00;1,16995;0,9234;175,12985;0,87085;24,3295;390,7
2025-10-17 11:00:00;1,169;0,9235;175,2857;0,87025;24,303;390,9
2025-10-20 10:00:00;1,16615;0,9246;175,80295;0,8684;24,3015;389,725
2025-10-20 11:00:00;1,16535;0,92385;175,6299;0,86905;24,2955;389,6
2025-10-21 10:00:00;1,16215;0,9234;176,41435;0,8682;24,312;389,475
2025-10-21 11:00:00;1,1618;0,92315;176,49485;0,8681;24,319;389,4
2025-10-22 10:00:00;1,15945;0,9232;176,0219;0,8705;24,2985;389,325
2025-10-22 11:00:00;1,15855;0,92325;175,89685;0,8702;24,3095;389,25
2025-10-23 10:00:00;1,15935;0,9253;176,9168;0,86845;24,314;390,525
2025-10-23 11:00:00;1,1588;0,92525;177,01825;0,8689;24,3085;390,575
2025-10-24 10:00:00;1,16115;0,9243;177,61535;0,87155;24,3345;389,8
2025-10-24 11:00:00;1,16125;0,92495;177,64805;0,8721;24,3345;389,75
2025-10-27 10:00:00;1,16365;0,9262;177,77665;0,87195;24,314;389,65
2025-10-27 11:00:00;1,16415;0,92675;177,82975;0,8724;24,3145;389,3
2025-10-28 10:00:00;1,1657;0,925;177,09895;0,87535;24,3205;388,45
2025-10-28 11:00:00;1,16645;0,92565;177,14295;0,8754;24,3185;388,425
2025-10-29 10:00:00;1,16425;0,92695;177,228;0,88065;24,323;388,3
2025-10-29 11:00:00;1,16475;0,92725;177,3274;0,88115;24,3215;388,225
2025-10-30 10:00:00;1,16165;0,928;178,6502;0,8808;24,3575;388,475
2025-10-30 11:00:00;1,16065;0,9285;178,7111;0,88085;24,352;388,375
2025-10-31 10:00:00;1,15755;0,92795;178,419;0,88065;24,3245;388,15
2025-10-31 11:00:00;1,15715;0,9284;178,34575;0,88125;24,3225;388,0
2025-11-03 10:00:00;1,15155;0,9296;177,52295;0,8774;24,339;387,0
2025-11-03 11:00:00;1,15155;0,9302;177,5402;0,87715;24,3365;387,1
2025-11-04 10:00:00;1,15005;0,9301;176,5097;0,88035;24,355;388,375
2025-11-04 11:00:00;1,15035;0,92995;176,6765;0,87985;24,3505;388,3
2025-11-05 10:00:00;1,1484;0,9309;176,5148;0,88075;24,356;387,65
2025-11-05 11:00:00;1,14835;0,931;176,41525;0,88155;24,354;387,575
